M=MODULE	module_enabled	module_name								
S=SUBJECT	subject_enabled	subject_name	subject_description							
Q=QUESTION	question_enabled	question_description	question_explanation	question_type	question_difficulty	question_position	question_timer	question_fullscreen	question_inline_answers	question_auto_next
A=ANSWER	answer_enabled	answer_description	answer_explanation	answer_isright	answer_position	answer_keyboard_key				
										
M	1	default								
S	1	GST 111	COMMUNICATION IN ENGLISH I							
Q	1	Which word in the following sentence is a transitive verb: "Having gone through the letter, it was obvious he was guilty"? 		S	1		0	0	0	0
A	1	gone		0						
A	1	obvious		0						
A	1	guilty		0						
A	1	None of the above		1						
Q	1	 are the two main categories of verbal communication? 		S	1		0	0	0	0
A	1	oral and written		1						
A	1	vocal and written		0						
A	1	signs and symbols		0						
A	1	spoken and picturesque		0						
Q	1	Which of the following groups of words qualifies as a sentence?		S	1		0	0	0	0
A	1	Inspite of all his efforts to pass the examination		0						
A	1	Having gone through the estimates presented at the meeting last week		0						
A	1	He hasn't seen any of his friends and foes around.		1						
A	1	Before this year runs out		0						
Q	1	The three communication models you have studied in this course are ?		S	1		0	0	0	0
A	1	Proactive model, Active model and Post-active model		0						
A	1	Constructive Model, Reconstructive model and Destructive model		0						
A	1	Intra-personal model, Inter personal model and Mass communication model		0						
A	1	Linear model, Interactional model and Transactional model 		1						
Q	1	Which communication model is best illustrated with the soldier parade session? 		T	1		0	0	0	0
A	1			0						
A	1			0						
A	1			0						
A	1			0						
Q	1	Which word in the following sentence is a finite verb: "While washing the plates, he told the man to sweep the floor "? 		S	1		0	0	0	0
A	1	told		1						
A	1	while		0						
A	1	washing		0						
A	1	sweep		0						
Q	1	Which of the following is not an advantage of written communication?		S	1		0	0	0	0
A	1	Accessibility		0						
A	1	Simultaneity		0						
A	1	Tenability		0						
A	1	Immediacy		1						
Q	1	The three major categories of internal organizational communication are ?		S	1		0	0	0	0
A	1	Public relations, media relations and intra-organizational relations		0						
A	1	Upward, downward and sideways		0						
A	1	Gossip, s                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ingle strand and probability		0						
A	1	Vertical, quasi-vertical and lateral/horizontal 		1						
Q	1	Which of the following is not among the uses of non-verbal communication?		S	1		0	0	0	0
A	1	For purposes of semantics and nomenclature 		1						
A	1	For speech reinforcement  		0						
A	1	For the expression of emotions		0						
A	1	As substitute for speech		0						
Q	1	The two major categories of language skills are ? 		S	1		0	0	0	0
A	1	Verbal and non-verbal		0						
A	1	Constructive and Destructive		0						
A	1	Productive and Receptive		1						
A	1	Reproductive and Deceptive		0						
Q	1	Which word(s) in the following sentence ia gerundial noun: "While teaching in the class, the lecturer told the students that dancing is his hobby"?		S	1		0	0	0	0
A	1	lecturer" and "students 		0						
A	1	class" and "hobby		0						
A	1	teaching" and "dancing		0						
A	1	dancing		1						
Q	1	Which of the following statements is most accurate?		S	1		0	0	0	0
A	1	Whereas listening is a passive exercise, hearing is not.		0						
A	1	Whenever you hear, you listen.		0						
A	1	Whereas listening is an active exercise, hearing is not.		1						
A	1	Whereas hearing involves selectivity of codes, listening does not. 		0						
Q	1	The acronym SQ3R refers to:		S	1		0	0	0	0
A	1	Standard Question after Three Readings		0						
A	1	Standard Question before Three Readings		0						
A	1	Survey, Question, Read, Recall, Review		1						
A	1	Survey, Question, Read, Re-read, Revise		0						
