M=MODULE	module_enabled	module_name								
S=SUBJECT	subject_enabled	subject_name	subject_description							
Q=QUESTION	question_enabled	question_description	question_explanation	question_type	question_difficulty	question_position	question_timer	question_fullscreen	question_inline_answers	question_auto_next
A=ANSWER	answer_enabled	answer_description	answer_explanation	answer_isright	answer_position	answer_keyboard_key				
										
M	1	default								
S	1	GST 113	NIGERIAN PEOPLES AND CULTURE							
Q	1	For Greek philosophers and thinkers, justice was equated with ____?		S	1		0	0	0	0
A	1	Injustice		0						
A	1	Morality		1						
A	1	Goodness		0						
A	1	Wrong		0						
Q	1	___________ is best known as the cradle of Western scholarship?		S	1		0	0	0	0
A	1	Ancient Greek		1						
A	1	Ancient Rome		0						
A	1	Ancient Egypt		0						
A	1	None of the above		0						
Q	1	In pre-colonial era, most Nigerian communities were_____? 		S	1		0	0	0	0
A	1	Small		0						
A	1	Rural		0						
A	1	Segmentary		0						
A	1	All of the above		1						
Q	1	Accordingly, to Plato, the four virtues that made a good individual, include justice,_____, courage and temperance?		S	1		0	0	0	0
A	1	 Wisdom		1						
A	1	Understanding		0						
A	1	Integrity 		0						
A	1	Love		0						
Q	1	The formulation of a national policy on education took place in the year ______ ?		S	1		0	0	0	0
A	1	1974		0						
A	1	1975		0						
A	1	1976		0						
A	1	1977		1						
Q	1	Most of the laws governing traditional African society were ______ based?		S	1		0	0	0	0
A	1	Economically		0						
A	1	Politically		0						
A	1	Religiously		1						
A	1	Socially		0						
Q	1	In traditional Africa, ancestors were regarded as _________ and they played a major role in the society?		S	1		0	0	0	0
A	1	Dead		0						
A	1	Living		1						
A	1	Powerful		0						
A	1	Weak		0						
Q	1	 Pastoral Fulani religion is ______ ?		S	1		0	0	0	0
A	1	Islam		0						
A	1	Pre-Islamic practices		0						
A	1	 a and b 		1						
A	1	 None of the above		0						
Q	1	Some Igala elites attribute the emergence of their state to one _______?		S	1		0	0	0	0
A	1	Ashadu		0						
A	1	Achadu		1						
A	1	Ashaolu		0						
A	1	Achabu		0						
Q	1	One of this is the obligation of a citizen?		S	1		0	0	0	0
A	1	Placing the interest of the State before any other interest		0						
A	1	Paying tax promptly		0						
A	1	Defending the State against internal and external enemies		0						
A	1	All of the above		1						
Q	1	In ________ the Nigerian government introduced the Universal Basic Education Programme (UBE)?		S	1		0	0	0	0
A	1	1975		0						
A	1	1976		1						
A	1	1977		0						
A	1	1978		0						
Q	1	There are at least ____ activity sectors of the Nigerian economy?		S	1		0	0	0	0
A	1	15		0						
A	1	18		1						
A	1	21		0						
A	1	24		0						
Q	1	Before independence, Nigeria arable land is estimated to be about___ million hectares?		S	1		0	0	0	0
A	1	98.321		0						
A	1	74.036		1						
A	1	89.406		0						
A	1	68.063		0						
Q	1	As Nana is to Itsekiri, so is ______ to Benin?		S	1		0	0	0	0
A	1	Oba		0						
A	1	Ovonramwen 		1						
A	1	Obaseki		0						
A	1	Igbinedion		0						
Q	1	when a group of people occupying a defined territory acquires the citizenship privileges of another either by treaty or by statute annexing the territory to a new one is known as ____?		S	1		0	0	0	0
A	1	Naturalization		0						
A	1	Collective Naturalization		1						
A	1	Direct Naturalization		0						
A	1	Indirect Naturalization		0						
Q	1	Historically _____ resistance the British in Sokoto, just like Jaja of Opobo?		S	1		0	0	0	0
A	1	Sultan		0						
A	1	Attahiru		1						
A	1	Jega		0						
A	1	Tambuwa		0						
Q	1	The year _________ the Hausa population was estimated at about twenty million?		S	1		0	0	0	0
A	1	2002		0						
A	1	2000		1						
A	1	2012		0						
A	1	2020		0						
