M=MODULE	module_enabled	module_name								
S=SUBJECT	subject_enabled	subject_name	subject_description							
Q=QUESTION	question_enabled	question_description	question_explanation	question_type	question_difficulty	question_position	question_timer	question_fullscreen	question_inline_answers	question_auto_next
A=ANSWER	answer_enabled	answer_description	answer_explanation	answer_isright	answer_position	answer_keyboard_key				
										
M	1	default								
S	1	GST 211	GST 200 Level							
Q	1	The statement that there are general laws in nature was credited to ______.		S	1		0	0	0	0
A	1	Aristotle		0						
A	1	Ptolemy		0						
A	1	Thales		1						
A	1	George Curvier		0						
Q	1	The modern concept of genera and species was discovered from the man called .		S	1		0	0	0	0
A	1	Francisco Redi		0						
A	1	Spallanzani		0						
A	1	Corolus Linnaeus		1						
A	1	George Young		0						
Q	1	The publisher of a textbook titled "Origin of Species"is __________.		S	1		0	0	0	0
A	1	Charlse Darwin		1						
A	1	Erasmus Darwin		0						
A	1	Thales		0						
A	1	Miller		0						
Q	1	_ believed in heredity and pre-natal influences. 		S	1		0	0	0	0
A	1	Aristotle		1						
A	1	Armstrong		0						
A	1	Huygens		0						
A	1	Archimedes		0						
Q	1	_________ believed that the first organisms were created by the powerful creator.		S	1		0	0	0	0
A	1	Thales		0						
A	1	Miller		0						
A	1	Charlse Darwin		0						
A	1	Erasmus Darwin		1						
Q	1	Bioplastic is derived from renewable ______ sources		S	1		0	0	0	0
A	1	Lignin		0						
A	1	Biomass		1						
A	1	Microbiota 		0						
A	1	None of the above 		0						
Q	1	Biosphatt from non-petroleum product is _______ resource		S	1		0	0	0	0
A	1	Renewable 		1						
A	1	Non renewable 		0						
A	1	A and B		0						
A	1	None of the above 		0						
Q	1	Resources that are not easily replenished by the environment is known as ______ resources 		S	1		0	0	0	0
A	1	Renewable		0						
A	1	Non renewable 		1						
A	1	A and B		0						
A	1	None of the above		0						
Q	1	Fuels is an example of ______ resources 		S	1		0	0	0	0
A	1	Renewable		0						
A	1	Non renewable 		1						
A	1	A and B		0						
A	1	None of the above		0						
Q	1	Sunlight is a _______ energy 		S	1		0	0	0	0
A	1	Renewable		1						
A	1	Non renewable 		0						
A	1	A and B		0						
A	1	None of the above		0						
Q	1	The first speculator on the origin of life is .		S	1		0	0	0	0
A	1	Erasmus Darwin		0						
A	1	Charles Darwin		0						
A	1	Thales		1						
A	1	Miller		0						
Q	1	The evolutionary concept began from the _______.		S	1		0	0	0	0
A	1	Greeks		1						
A	1	Egyptians		0						
A	1	Babylonians		0						
A	1	Arabians		0						
Q	1	The general acceptance of the doctrine of organic evolution took place in ___________ century.		S	1		0	0	0	0
A	1	18th		0						
A	1	19th		1						
A	1	20th		0						
A	1	21th		0						
Q	1	The modern concept of genera and species was discovered from the man called .		S	1		0	0	0	0
A	1	Francisco Redi		0						
A	1	Spallanzani		0						
A	1	Corolus Linnaeus		1						
A	1	George Young		0						
Q	1	The discovery that there are general laws in nature is credited to the _________ 		S	1		0	0	0	0
A	1	Egyptians 		0						
A	1	Romans		0						
A	1	Greek 		1						
A	1	Persians 		0						
Q	1	A body of knowledge that can be rationally explained is?		S	1		0	0	0	0
A	1	Science		1						
A	1	Engineering		0						
A	1	Scientia		0						
A	1	Technology		0						
Q	1	The primary aim of science is?		S	1		0	0	0	0
A	1	Obtain Knowledge		1						
A	1	Gather Information		0						
A	1	Clarify Evidence		0						
A	1	None of the above		0						
Q	1	The organization of knowledge in a characteristic about the world is?		S	1		0	0	0	0
A	1	Reasoning		0						
A	1	Science		1						
A	1	Civilization		0						
A	1	Systematics		0						
